"Fecha","Estación","Clorofila_a_(lab_µg) (µg/L)","Coliformes Termotolerantes (Fecales) (Membrana Filtrante) (ufc/100ml)","Conductividad (µS/cm)","Enterococos (Sustrato Definido - Enterolet®) (NMP/100mL)","Escherichia coli (Memabrana Filtrante) (ufc/100ml)","Escherichia coli (Sustrato Definido - Colilert®) (NMP/100mL)","Floración Algal (sin unid)","Oxigeno disuelto (mg/L)","Potencial de hidrogeno (pH) (sin unid)","Salinidad (psu)","Standard value a (NO APLICA)","standard value b (NO APLICA)","Temperatura (ºC)","Transparencia (cm)","Turbidez (NTU)"
"2020-11-11 09:50:00","06SF","","","","","","","0E-9","5.5","7.36","","","","18.9","",""
"2020-11-11 10:00:00","02LDM","","64","90.7","","","","","6.7","7.43","","","","21.7","",""
"2020-11-11 10:10:00","01SLC","","84","352","","","","","7.3","7.32","","","","22.6","",""
"2020-11-11 12:20:00","03LP","","","","","","","0E-9","6.81","7.88","","","","21.4","",""
"2020-11-11 12:45:00","02SL","","","","","","","0E-9","7.4","7.65","","","","19.4","",""
"2020-11-16 07:30:00","02LDM","","120","90.8","","","","","3.79","7.37","","","","19.1","",""
"2020-11-16 07:40:00","01SLC","","250","367","","","","","6.66","7.08","","","","17","",""
"2020-11-18 08:40:00","01AC","","","","","","","0E-9","7.9","7.4","","","","17","","1.2"
"2020-11-18 09:07:00","06SF","","","","","","","0E-9","6.85","7.54","","","","18.7","","1.8"
"2020-11-18 09:30:00","03LP","","","","","","","0E-9","7.5","7.5","","","","19.1","","1.52"
"2020-11-18 10:40:00","02SL","","","","","","","0E-9","6.92","7.61","","","","18.7","","1.26"
"2020-11-25 09:27:00","01AC","","325","","","","","0E-9","7.85","7.45","","","","18","","1.25"
"2020-11-25 09:50:00","06SF","","335","","","","","0E-9","7.81","7.52","","","","16","","1.75"
"2020-11-25 10:15:00","03LP","","435","","","","","0E-9","6.82","7.42","","","","19","","1.22"
"2020-11-25 11:43:00","02SL","","1085","","","","","0E-9","7.55","7.88","","","","21.2","","1.91"
"2020-12-02 09:00:00","01AC","","415","","","","","0E-9","7.35","7.88","","","","23.9","","1.33"
"2020-12-02 09:30:00","06SF","","105","","","","","0E-9","9.16","7.81","","","","22.2","","1.25"
"2020-12-02 10:15:00","03LP","","155","","","","","0E-9","8.18","7.89","","","","21","","1.39"
"2020-12-02 11:30:00","02SL","","90","","","","","0E-9","7.15","7.91","","","","22","","1.06"
"2020-12-07 07:25:00","01SLC","","","442","","","","0E-9","6.51","","","","","22.3","",""
"2020-12-07 07:35:00","02LDM","","120","96.9","","","","0E-9","5.37","","","","","21.1","",""
"2020-12-09 09:20:00","01AC","","290","","","","","0E-9","7.4","7.81","","","","23.5","","1.12"
"2020-12-09 10:00:00","06SF","","150","","","","","0E-9","5.88","6.36","","","","19.9","","1.08"
"2020-12-09 10:35:00","03LP","","55","","","","","0E-9","6.4","7.51","","","","21","","1.15"
"2020-12-09 12:30:00","02SL","","15","","","","","0E-9","6.91","7.81","","","","18.4","","1.14"
"2020-12-10 08:00:00","01SLC","","790","","","","","0E-9","","","","","","","",""
"2020-12-14 09:45:00","01SLC","","","446","","","","0E-9","5.49","","","","","23.5","",""
"2020-12-14 09:50:00","02LDM","","68","98.2","","","","0E-9","3.5","","","","","22.5","",""
"2020-12-16 08:50:00","01AC","","25","","","","","0E-9","7.5","7.78","","","","21","","1.1"
"2020-12-16 09:30:00","06SF","","100","","","","","0E-9","5.82","7.46","","","","19.3","","1.16"
"2020-12-16 10:15:00","03LP","","75","","","","","0E-9","6.95","7.5","","","","20","","1.13"
"2020-12-16 12:15:00","02SL","","10","","","","","0E-9","7.6","7.6","","","","23","","1.09"
"2020-12-17 08:00:00","01SLC","","390","","","","","0E-9","","","","","","","",""
"2020-12-21 08:00:00","02LDM","","94","81.4","","","","0E-9","5.42","","","","","22.4","",""
"2020-12-21 08:10:00","01SLC","","480","510","","","","0E-9","6.45","7.81","","","","23.1","",""
"2020-12-22 08:30:00","01AC","","260","","","","","0E-9","7.49","7.8","","","","19","","1.03"
"2020-12-22 09:15:00","06SF","","145","","","","","0E-9","4.6","7.45","","","","19.7","","1.43"
"2020-12-22 09:45:00","03LP","","2500","","","","","0E-9","6.51","7.51","","","","20","","1.06"
"2020-12-22 11:30:00","02SL","","250","","","","","0E-9","6.8","7.7","","","","18.5","","1.04"
"2020-12-28 09:50:00","02LDM","","88","102.1","","","","0E-9","5.31","8.11","","","","25.7","",""
"2020-12-28 10:00:00","01SLC","","38","578","","","","0E-9","7.81","7.6","","","","26.7","",""
"2020-12-29 09:15:00","01AC","","60","","","","","0E-9","7.7","7.6","","","","21.3","","1.53"
"2020-12-29 09:45:00","06SF","","135","","","","","0E-9","4.87","7.56","","","","24","","1.44"
"2020-12-29 10:05:00","03LP","","120","","","","","0E-9","6.55","7.6","","","","22.1","","1.76"
"2020-12-29 12:25:00","02SL","","145","","","","","0E-9","6.85","7.75","","","","20.4","","2.07"
"2021-01-04 08:25:00","01SLC","","1000","604","","","","0E-9","5.03","","","","","25.7","",""
"2021-01-04 08:30:00","02LDM","","76","102.8","","","","0E-9","5.6","","","","","24.8","",""
"2021-01-05 10:15:00","01AC","","110","","","","","0E-9","7.6","7.56","","","","20.4","","1.72"
"2021-01-05 10:50:00","06SF","","285","","","","","0E-9","5.75","7.4","","","","19.8","","2.38"
"2021-01-05 11:10:00","03LP","","105","","","","","0E-9","6.6","7.2","","","","18.8","","1.36"
"2021-01-05 13:00:00","02SL","","75","","","","","0E-9","6.5","7.5","","","","20","","2.04"
"2021-01-11 08:25:00","02LDM","","500","105.4","","","","0E-9","5.33","","","","","25.5","",""
"2021-01-11 08:30:00","01SLC","","120","676","","","","0E-9","4.22","","","","","26.5","",""
"2021-01-13 00:00:00","02SL","","","","","","","0E-9","7.6","7.48","","","","21.2","",""
"2021-01-13 08:15:00","01AC","","","","","","","0E-9","5.8","7.2","","","","20","",""
"2021-01-13 08:50:00","06SF","","","","","","","0E-9","4.32","7.18","","","","21.1","",""
"2021-01-13 09:30:00","03LP","","","","","","","0E-9","6.7","7.3","","","","19.4","",""
"2021-01-13 10:50:00","04SF","","","","","","","0E-9","6.1","6.4","","","","16.7","",""
"2021-01-19 08:30:00","01AC","","250","","","","","0E-9","5.9","7.28","","","","20","","2.68"
"2021-01-19 09:15:00","06SF","","700","","","","","0E-9","5.19","7.21","","","","21.2","","1.54"
"2021-01-19 09:45:00","03LP","","115","","","","","0E-9","6","7.15","","","","19.4","","1.55"
"2021-01-19 11:05:00","04SF","","165","","","","","0E-9","5.8","6.5","","","","18.5","","3.51"
"2021-01-19 11:45:00","02SL","","300","","","","","0E-9","7.15","7.19","","","","20","","6.28"
