"Fecha","Estación","Aceites y grasas (mg/L)","Alacloro (µg/L)","Aldrin (µg/L)","Alfa cipermetrina (µg/L)","AMPA (µg/L)","Atrazina (µg/L)","Atrazina desetil (µg/L)","Atrazina desisopropil (µg/L)","Azoxiestrobina (µg/L)","Clordano Cis (µg/L)","Clordano Trans (µg/L)","Clorofila_a_(lab_µg) (µg/L)","Clorpirifos (µg/L)","Clorpirifos Metil (µg/L)","Coliformes Termotolerantes (Fecales) (Membrana Filtrante) (ufc/100ml)","Color (unidad de color)","Compuestos Halogenados adsorbibles (AOX) (µg/L)","Conductividad (µS/cm)","Cromo VI (mg/L)","DBO5 (mg O2/L)","Demanda química de oxigeno (DQO) (mg O2/L)","Diazinon (µg/L)","Dieldrin (µg/L)","Diuron (µg/L)","Endosulfan alfa (µg/L)","Endosulfan beta (µg/L)","Endosulfan sulfato (µg/L)","Endrin (µg/L)","Escherichia coli (Memabrana Filtrante) (ufc/100ml)","Escherichia coli (Sustrato Definido - Colilert®) (NMP/100mL)","Etil Paration (µg/L)","Etion (µg/L)","Feofitina a (µg/L)","Fipronil (µg/L)","Floración Algal (sin unid)","Fluroxipir meptil (µg/L)","Fosfato (ortofosfato) (µg PO4-P/L)","Fósforo total (µg P/L)","Glifosato (µg/L)","Heptacloro (µg/L)","Heptacloro Epoxido (µg/L)","Hexaclorobenceno (µg/L)","Ion Nitrito (mg NO2-N/L)","Lindano (µg/L)","Malathion (µg/L)","Mercurio total (mg/L)","Metil Paration (µg/L)","Metoxicloro (µg/L)","Mirex (µg/L)","Nitrato (mg NO3-N/L)","Nitrógeno Amoniacal (amonio) (mg NH4-N/L)","Nitrógeno total (mg N/L)","o,p' DDD (µg/L)","o,p' DDE (µg/L)","o,p' DDT (µg/L)","Oxigeno disuelto (mg/L)","Potencial de hidrogeno (pH) (sin unid)","p,p' DDD (µg/L)","p,p' DDE (µg/L)","p,p' DDT (µg/L)","Profundidad_Sitio (m)","Saturación de oxígeno (%)","Simazina (µg/L)","Sólidos suspendidos totales (mg/L)","Sólidos totales (mg/L)","Temperatura (ºC)","Transparencia (cm)","Trifloxiestrobina (µg/L)","Trifluralina (µg/L)","Turbidez (NTU)"
"2011-03-15 13:51:00","SJ02","","","","","","","","","","","","","","","","65","","542","","3.6","","","","","","","","","","","","","","","","","","216","","","","","0.002","","","","","","","0.1","0.01","","","","","6.12","7.48","","","","","","","","","21.1","","","","8.3"
"2011-03-15 14:47:00","SJ01","","","","","","","","","","","","","","","","38","","420.2","","0.25","","","","","","","","","","","","","","","","","","68","","","","","0.002","","","","","","","0.1","0.02","","","","","6.23","7.23","","","","","","","","","17.6","","","","1.81"
"2011-03-16 10:30:00","SLC01","","","","","","","","","","","","","","","","70","","373.7","","1.9","","","","","","","","","","","","","","","","","","91.1","","","","","0.058","","","","","","","0.11","0.15","","","","","5.24","7.54","","","","","","","","","20.9","","","","17"
"2011-03-16 11:10:00","SLC02","","","","","","","","","","","","","","","","50","","426.3","","1.5","","","","","","","","","","","","","","","","","","404","","","","","0.01","","","","","","","0.1","0.12","","","","","5.45","7.89","","","","","","","","","21","","","","4.8"
"2011-03-16 12:50:00","PS02","","","","","","","","","","","","4.6","","","","","","297.4","","","","","","","","","","","","","","","4.3","","","","","361","","","","","0.002","","","","","","","0.39","0.06","","","","","6.54","7.58","","","","","","","","","21.5","","","","17"
"2011-03-16 13:03:00","PS03","","","","","","","","","","","","1.5","","","","","","294.4","","","","","","","","","","","","","","","0.05","","","","","349","","","","","0.009","","","","","","","0.31","0.02","","","","","6.55","7.76","","","","","","","","","22.6","","","","11"
"2011-03-16 13:15:00","PS04","","","","","","","","","","","","2.1","","","","","","302.8","","","","","","","","","","","","","","","10.4","","","","","345","","","","","0.002","","","","","","","0.29","0.01","","","","","7.12","7.71","","","","","","","","","24.3","","","","8.9"
"2011-03-16 14:10:00","PS01=SLC03","","","","","","","","","","","","0.05","","","","150","","595","","12","","","","","","","","","","","","","","","","","","750","","","","","0.212","","","","","","","0.9","0.49","","","","","5.1","7.95","","","","","","","","","23.4","","","","21"
"2011-03-17 10:30:00","SL01","","","","","","","","","","","","","","","","50","","432.3","","1.9","","","","","","","","","","","","","","","","","","294","","","","","0.009","","","","","","","0.09","0.24","","","","","5.21","7.72","","","","","","","","","21.2","","","","4.4"
"2011-03-17 10:50:00","SL02","","","","","","","","","","","","","","","","33","","368.5","","1.3","","","","","","","","","","","","","","","","","","80.5","","","","","0.002","","","","","","","0.11","0.11","","","","","6.46","7.66","","","","","","","","","20.8","","","","5.5"
